<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,W,20070212,000000,1.2989000,1.3177000,1.2981000,1.3139000,0
EURUSD,W,20070219,000000,1.3155000,1.3194000,1.3078000,1.3169000,0
EURUSD,W,20070226,000000,1.3208000,1.3264000,1.3140000,1.3194000,0
EURUSD,W,20070305,000000,1.3205000,1.3217000,1.3070000,1.3118000,0
EURUSD,W,20070312,000000,1.3140000,1.3346000,1.3105000,1.3320000,0
EURUSD,W,20070319,000000,1.3315000,1.3416000,1.3268000,1.3285000,0
EURUSD,W,20070326,000000,1.3283000,1.3405000,1.3251000,1.3357000,0
EURUSD,W,20070402,000000,1.3374000,1.3445000,1.3316000,1.3380000,0
EURUSD,W,20070409,000000,1.3374000,1.3559000,1.3336000,1.3529000,0
EURUSD,W,20070416,000000,1.3558000,1.3642000,1.3520000,1.3593000,0
EURUSD,W,20070423,000000,1.3598000,1.3686000,1.3539000,1.3655000,0
EURUSD,W,20070430,000000,1.3576000,1.3627000,1.3530000,1.3592000,0
EURUSD,W,20070507,000000,1.3605000,1.3632000,1.3460000,1.3527000,0
EURUSD,W,20070514,000000,1.3539000,1.3615000,1.3463000,1.3509000,0
EURUSD,W,20070521,000000,1.3518000,1.3534000,1.3410000,1.3443000,0
EURUSD,W,20070528,000000,1.3450000,1.3525000,1.3403000,1.3445000,0
EURUSD,W,20070604,000000,1.3492000,1.3559000,1.3318000,1.3376000,0
EURUSD,W,20070611,000000,1.3374000,1.3394000,1.3260000,1.3390000,0
EURUSD,W,20070618,000000,1.3377000,1.3476000,1.3370000,1.3471000,0
EURUSD,W,20070625,000000,1.3467000,1.3547000,1.3421000,1.3543000,0
EURUSD,W,20070702,000000,1.3537000,1.3665000,1.3526000,1.3629000,0
EURUSD,W,20070709,000000,1.3636000,1.3818000,1.3590000,1.3785000,0
